club,busyness,date
SAVANORIAI,26%,2021-12-15 17:00:07
ŠILAINIAI,18%,2021-12-15 17:00:07
ŽALGIRIO ARENA,13%,2021-12-15 17:00:07
ANTAKALNIS,21%,2021-12-15 18:00:10
BANGINIS,25%,2021-12-15 18:00:10
EUROPA,24%,2021-12-15 18:00:10
FABIJONIŠKĖS,22%,2021-12-15 18:00:10
PERKŪNKIEMIS,19%,2021-12-15 18:00:10
PILAITĖ,16%,2021-12-15 18:00:10
SAVANORIAI,27%,2021-12-15 18:00:10
ŠILAINIAI,21%,2021-12-15 18:00:10
ŽALGIRIO ARENA,16%,2021-12-15 18:00:10
ANTAKALNIS,21%,2021-12-16 15:00:07
BANGINIS,9%,2021-12-16 15:00:07
EUROPA,8%,2021-12-16 15:00:07
FABIJONIŠKĖS,13%,2021-12-16 15:00:07
PERKŪNKIEMIS,6%,2021-12-16 15:00:07
PILAITĖ,6%,2021-12-16 15:00:07
SAVANORIAI,15%,2021-12-16 15:00:07
ŠILAINIAI,10%,2021-12-16 15:00:07
ŽALGIRIO ARENA,5%,2021-12-16 15:00:07
ANTAKALNIS,14%,2021-12-16 16:00:07
BANGINIS,15%,2021-12-16 16:00:07
EUROPA,9%,2021-12-16 16:00:07
FABIJONIŠKĖS,21%,2021-12-16 16:00:07
PERKŪNKIEMIS,9%,2021-12-16 16:00:07
PILAITĖ,11%,2021-12-16 16:00:07
SAVANORIAI,14%,2021-12-16 16:00:07
ŠILAINIAI,12%,2021-12-16 16:00:07
ŽALGIRIO ARENA,5%,2021-12-16 16:00:07
ANTAKALNIS,10%,2021-12-16 17:00:07
BANGINIS,22%,2021-12-16 17:00:07
EUROPA,12%,2021-12-16 17:00:07
FABIJONIŠKĖS,22%,2021-12-16 17:00:07
PERKŪNKIEMIS,13%,2021-12-16 17:00:07
PILAITĖ,12%,2021-12-16 17:00:07
SAVANORIAI,22%,2021-12-16 17:00:07
ŠILAINIAI,24%,2021-12-16 17:00:07
ŽALGIRIO ARENA,9%,2021-12-16 17:00:07
ANTAKALNIS,15%,2021-12-16 18:00:07
BANGINIS,30%,2021-12-16 18:00:07
EUROPA,21%,2021-12-16 18:00:07
FABIJONIŠKĖS,22%,2021-12-16 18:00:07
PERKŪNKIEMIS,20%,2021-12-16 18:00:07
PILAITĖ,15%,2021-12-16 18:00:07
SAVANORIAI,28%,2021-12-16 18:00:07
ŠILAINIAI,34%,2021-12-16 18:00:07
ŽALGIRIO ARENA,9%,2021-12-16 18:00:07
ANTAKALNIS,19%,2021-12-16 19:00:08
BANGINIS,34%,2021-12-16 19:00:08
EUROPA,21%,2021-12-16 19:00:08
FABIJONIŠKĖS,24%,2021-12-16 19:00:08
PERKŪNKIEMIS,25%,2021-12-16 19:00:08
PILAITĖ,18%,2021-12-16 19:00:08
SAVANORIAI,23%,2021-12-16 19:00:08
ŠILAINIAI,25%,2021-12-16 19:00:08
ŽALGIRIO ARENA,8%,2021-12-16 19:00:08
ANTAKALNIS,16%,2021-12-17 15:00:08
BANGINIS,12%,2021-12-17 15:00:08
EUROPA,11%,2021-12-17 15:00:08
FABIJONIŠKĖS,12%,2021-12-17 15:00:08
PERKŪNKIEMIS,12%,2021-12-17 15:00:08
PILAITĖ,6%,2021-12-17 15:00:08
SAVANORIAI,15%,2021-12-17 15:00:08
ŠILAINIAI,12%,2021-12-17 15:00:08
ŽALGIRIO ARENA,9%,2021-12-17 15:00:08
ANTAKALNIS,11%,2021-12-17 16:00:08
BANGINIS,16%,2021-12-17 16:00:08
EUROPA,17%,2021-12-17 16:00:08
FABIJONIŠKĖS,15%,2021-12-17 16:00:08
PERKŪNKIEMIS,9%,2021-12-17 16:00:08
PILAITĖ,11%,2021-12-17 16:00:08
SAVANORIAI,16%,2021-12-17 16:00:08
ŠILAINIAI,11%,2021-12-17 16:00:08
ŽALGIRIO ARENA,7%,2021-12-17 16:00:08
ANTAKALNIS,16%,2021-12-17 17:00:09
BANGINIS,21%,2021-12-17 17:00:09
EUROPA,21%,2021-12-17 17:00:09
FABIJONIŠKĖS,16%,2021-12-17 17:00:09
PERKŪNKIEMIS,14%,2021-12-17 17:00:09
PILAITĖ,15%,2021-12-17 17:00:09
SAVANORIAI,16%,2021-12-17 17:00:09
ŠILAINIAI,16%,2021-12-17 17:00:09
ŽALGIRIO ARENA,7%,2021-12-17 17:00:09
ANTAKALNIS,18%,2021-12-17 18:00:07
BANGINIS,25%,2021-12-17 18:00:07
EUROPA,21%,2021-12-17 18:00:07
FABIJONIŠKĖS,15%,2021-12-17 18:00:07
PERKŪNKIEMIS,17%,2021-12-17 18:00:07
PILAITĖ,16%,2021-12-17 18:00:07
SAVANORIAI,13%,2021-12-17 18:00:07
ŠILAINIAI,26%,2021-12-17 18:00:07
ŽALGIRIO ARENA,3%,2021-12-17 18:00:07
ANTAKALNIS,17%,2021-12-17 19:00:08
BANGINIS,19%,2021-12-17 19:00:08
EUROPA,14%,2021-12-17 19:00:08
FABIJONIŠKĖS,14%,2021-12-17 19:00:08
PERKŪNKIEMIS,10%,2021-12-17 19:00:08
PILAITĖ,13%,2021-12-17 19:00:08
SAVANORIAI,16%,2021-12-17 19:00:08
ŠILAINIAI,22%,2021-12-17 19:00:08
ŽALGIRIO ARENA,6%,2021-12-17 19:00:08
ANTAKALNIS,13%,2021-12-17 20:00:08
BANGINIS,15%,2021-12-17 20:00:08
EUROPA,12%,2021-12-17 20:00:08
FABIJONIŠKĖS,11%,2021-12-17 20:00:08
PERKŪNKIEMIS,9%,2021-12-17 20:00:08
PILAITĖ,12%,2021-12-17 20:00:08
SAVANORIAI,14%,2021-12-17 20:00:08
ŠILAINIAI,15%,2021-12-17 20:00:08
ŽALGIRIO ARENA,3%,2021-12-17 20:00:08
ANTAKALNIS,9%,2021-12-17 21:00:08
BANGINIS,12%,2021-12-17 21:00:08
EUROPA,9%,2021-12-17 21:00:08
FABIJONIŠKĖS,11%,2021-12-17 21:00:08
PERKŪNKIEMIS,6%,2021-12-17 21:00:08
PILAITĖ,7%,2021-12-17 21:00:08
SAVANORIAI,12%,2021-12-17 21:00:08
ŠILAINIAI,7%,2021-12-17 21:00:08
ŽALGIRIO ARENA,3%,2021-12-17 21:00:08
ANTAKALNIS,8%,2021-12-17 22:00:07
BANGINIS,9%,2021-12-17 22:00:07
EUROPA,6%,2021-12-17 22:00:07
FABIJONIŠKĖS,8%,2021-12-17 22:00:07
PERKŪNKIEMIS,3%,2021-12-17 22:00:07
PILAITĖ,2%,2021-12-17 22:00:07
SAVANORIAI,4%,2021-12-17 22:00:07
ŠILAINIAI,4%,2021-12-17 22:00:07
ŽALGIRIO ARENA,2%,2021-12-17 22:00:07
ANTAKALNIS,8%,2021-12-18 15:00:08
BANGINIS,12%,2021-12-18 15:00:08
EUROPA,13%,2021-12-18 15:00:08
FABIJONIŠKĖS,9%,2021-12-18 15:00:08
PERKŪNKIEMIS,9%,2021-12-18 15:00:08
PILAITĖ,6%,2021-12-18 15:00:08
SAVANORIAI,11%,2021-12-18 15:00:08
ŠILAINIAI,11%,2021-12-18 15:00:08
ŽALGIRIO ARENA,6%,2021-12-18 15:00:08
ANTAKALNIS,10%,2021-12-18 16:00:08
BANGINIS,7%,2021-12-18 16:00:08
EUROPA,10%,2021-12-18 16:00:08
FABIJONIŠKĖS,9%,2021-12-18 16:00:08
PERKŪNKIEMIS,11%,2021-12-18 16:00:08
PILAITĖ,9%,2021-12-18 16:00:08
SAVANORIAI,10%,2021-12-18 16:00:08
ŠILAINIAI,13%,2021-12-18 16:00:08
ŽALGIRIO ARENA,4%,2021-12-18 16:00:08
ANTAKALNIS,6%,2021-12-18 20:00:08
BANGINIS,6%,2021-12-18 20:00:08
EUROPA,4%,2021-12-18 20:00:08
FABIJONIŠKĖS,4%,2021-12-18 20:00:08
PERKŪNKIEMIS,0%,2021-12-18 20:00:08
PILAITĖ,0%,2021-12-18 20:00:08
SAVANORIAI,5%,2021-12-18 20:00:08
ŠILAINIAI,5%,2021-12-18 20:00:08
ŽALGIRIO ARENA,2%,2021-12-18 20:00:08
ANTAKALNIS,13%,2021-12-20 15:00:07
BANGINIS,9%,2021-12-20 15:00:07
EUROPA,13%,2021-12-20 15:00:07
FABIJONIŠKĖS,13%,2021-12-20 15:00:07
PERKŪNKIEMIS,8%,2021-12-20 15:00:07
PILAITĖ,8%,2021-12-20 15:00:07
SAVANORIAI,12%,2021-12-20 15:00:07
ŠILAINIAI,16%,2021-12-20 15:00:07
ŽALGIRIO ARENA,6%,2021-12-20 15:00:07
ANTAKALNIS,22%,2021-12-20 16:00:07
BANGINIS,18%,2021-12-20 16:00:07
EUROPA,14%,2021-12-20 16:00:07
FABIJONIŠKĖS,21%,2021-12-20 16:00:07
PERKŪNKIEMIS,15%,2021-12-20 16:00:07
PILAITĖ,13%,2021-12-20 16:00:07
SAVANORIAI,11%,2021-12-20 16:00:07
ŠILAINIAI,20%,2021-12-20 16:00:07
ŽALGIRIO ARENA,4%,2021-12-20 16:00:07
ANTAKALNIS,15%,2021-12-20 17:00:07
BANGINIS,22%,2021-12-20 17:00:07
EUROPA,21%,2021-12-20 17:00:07
FABIJONIŠKĖS,24%,2021-12-20 17:00:07
PERKŪNKIEMIS,15%,2021-12-20 17:00:07
PILAITĖ,14%,2021-12-20 17:00:07
SAVANORIAI,23%,2021-12-20 17:00:07
ŠILAINIAI,31%,2021-12-20 17:00:07
ŽALGIRIO ARENA,10%,2021-12-20 17:00:07
ANTAKALNIS,11%,2021-12-20 18:00:07
BANGINIS,27%,2021-12-20 18:00:07
EUROPA,27%,2021-12-20 18:00:07
FABIJONIŠKĖS,20%,2021-12-20 18:00:07
PERKŪNKIEMIS,22%,2021-12-20 18:00:07
